cle;libelle;offres;employeurs;part_pct
31555;Toulouse;3980;984;12.41
34172;Montpellier;1909;553;5.95
30189;Nîmes;877;322;2.74
66136;Perpignan;788;232;2.46
82121;Montauban;675;238;2.11
31149;Colomiers;562;169;1.75
34032;Béziers;547;171;1.71
81004;Albi;496;163;1.55
11069;Carcassonne;452;168;1.41
31069;Blagnac;415;134;1.29
65440;Tarbes;402;155;1.25
12202;Rodez;387;140;1.21
11262;Narbonne;377;136;1.18
32013;Auch;367;137;1.14
31395;Muret;299;132;0.93
30007;Alès;266;85;0.83
81065;Castres;253;115;0.79
46042;Cahors;242;118;0.75
12145;Millau;209;89;0.65
34301;Sète;207;90;0.65
31254;Labège;198;110;0.62
09225;Pamiers;172;69;0.54
34145;Lunel;169;67;0.53
31044;Balma;166;82;0.52
31433;Portet-sur-Garonne;162;77;0.51
46102;Figeac;153;74;0.48
65286;Lourdes;142;64;0.44
34154;Mauguio;133;71;0.41
48095;Mende;133;69;0.41
11076;Castelnaudary;132;59;0.41
12300;Villefranche-de-Rouergue;131;50;0.41
30028;Bagnols-sur-Cèze;130;64;0.41
34270;Saint-Jean-de-Védas;128;56;0.40
34057;Castelnau-le-Lez;128;67;0.40
81099;Gaillac;127;64;0.40
31118;Castelnau-d'Estrétefonds;124;41;0.39
09122;Foix;121;47;0.38
31561;L'Union;117;54;0.36
34003;Agde;116;62;0.36
30334;Uzès;115;55;0.36
