cle;libelle;offres;employeurs;part_pct
M1211;Expert-comptable / Experte-comptable;1173;46;3.57
K1304;Employé familial / Employée familiale;1163;257;3.54
J1501;Aide-soignant / Aide-soignante;722;256;2.20
J1506;Infirmier / Infirmière en soins généraux (IDE);612;148;1.86
K1311;Assistant / Assistante de vie aux familles;533;148;1.62
K1303;Garde d'enfant;523;55;1.59
D1507;Employé / Employée de rayon libre-service;491;164;1.49
I1604;Mécanicien / Mécanicienne automobile;439;173;1.34
N4101;Conducteur / Conductrice de poids lourd;425;143;1.29
G1603;Equipier polyvalent / Equipière polyvalente de restauration rapide;423;159;1.29
M1203;Comptable;418;128;1.27
G1609;Cuisinier / Cuisinière;370;243;1.13
N1101;Cariste;348;105;1.06
G1803;Serveur / Serveuse en restauration;309;230;0.94
K2205;Agent / Agente de propreté de locaux;308;155;0.94
D1106;Vendeur / Vendeuse en épicerie;307;156;0.93
N1110;Magasinier / Magasinière;306;125;0.93
F1703;Maçon / Maçonne;294;126;0.89
K2107;Professeur / Professeure de collège et de lycée;286;40;0.87
H2903;Usineur / Usineuse;251;103;0.76
I1304;Technicien / Technicienne de maintenance industrielle;243;104;0.74
F1302;Conducteur / Conductrice d'engins de chantier;241;77;0.73
C1504;Conseiller / Conseillère immobilier;235;62;0.72
F1704;Manœuvre du Bâtiment et des Travaux Publics;225;97;0.68
N1105;Manutentionnaire;217;88;0.66
D1410;Attaché commercial / Attachée commerciale;216;89;0.66
J1502;Cadre de santé d'unité de soins ou de service paramédical;216;55;0.66
N1103;Préparateur / Préparatrice de commandes;216;81;0.66
M1213;Assistant / Assistante comptable;215;73;0.65
F1602;Electricien / Electricienne du bâtiment;213;72;0.65
K1306;Accompagnant Educatif et Social (AES) / Accompagnante Educative et Sociale (AES);206;102;0.63
M1507;Gestionnaire paie;203;45;0.62
I1203;Agent / Agente d'entretien du bâtiment;192;115;0.58
F1619;Couvreur / Couvreuse;191;77;0.58
K1302;Assistant / Assistante de vie dépendance;183;42;0.56
H2901;Ajusteur-monteur / Ajusteuse-monteuse;176;60;0.54
K2122;Professeur / Professeure à domicile;176;11;0.54
G1602;Commis / Commise de cuisine;168;105;0.51
H2902;Chaudronnier / Chaudronnière;165;66;0.50
H2906;Opérateur / Opératrice en fabrication mécanique;163;67;0.50
