outil;famille;offres;pour_dix_mille;ic95_bas;ic95_haut
IA générative;technique;14;7.5;4.4;12.5
Agents IA;technique;9;4.8;2.5;9.1
Grands modèles de langage;technique;9;4.8;2.5;9.1
Machine learning;technique;7;3.7;1.8;7.7
Recherche augmentée;technique;6;3.2;1.5;7
DALL-E;image;5;2.7;1.1;6.2
Copilot;assistant;4;2.1;0.8;5.5
LangChain;cadre;4;2.1;0.8;5.5
PyTorch;cadre;4;2.1;0.8;5.5
Databricks;plateforme;3;1.6;0.5;4.7
Llama;assistant;2;1.1;0.3;3.9
TensorFlow;cadre;2;1.1;0.3;3.9
Claude;assistant;1;0.5;0.1;3
Claude Code;developpement;1;0.5;0.1;3
Copilot Studio;assistant;1;0.5;0.1;3
Deep learning;technique;1;0.5;0.1;3
Hugging Face;plateforme;1;0.5;0.1;3
LlamaIndex;cadre;1;0.5;0.1;3
Ollama;plateforme;1;0.5;0.1;3
Qwen;assistant;1;0.5;0.1;3
Reconnaissance vocale;technique;1;0.5;0.1;3
scikit-learn;cadre;1;0.5;0.1;3
Vectorisation;technique;1;0.5;0.1;3
Vertex AI;plateforme;1;0.5;0.1;3
Vision par ordinateur;technique;1;0.5;0.1;3
YOLO;cadre;1;0.5;0.1;3
