cle;libelle;offres;employeurs;part_pct
interim;Intérim et agences d'emploi;7342;447;52.08
sante-social;Santé et action sociale;1505;671;10.68
commerce;Commerce;967;366;6.86
hotellerie-restauration-tourisme;"Hôtellerie, restauration et tourisme";715;396;5.07
conseil-expertise;"Conseil, expertise, juridique et comptable";625;257;4.43
services-entreprises;Services aux entreprises;459;215;3.26
autres-services;Autres services;432;195;3.06
btp;BTP;380;221;2.70
industrie;Industrie;361;168;2.56
agriculture-agroalimentaire;Agriculture et agroalimentaire;293;171;2.08
enseignement-formation;Enseignement et formation;241;101;1.71
administration-publique;Administration publique;200;79;1.42
transport-logistique;Transport et logistique;180;99;1.28
finance-assurance;Banque et assurance;175;67;1.24
immobilier;Immobilier;103;59;0.73
numerique;Numérique (fournisseurs);97;44;0.69
energie-environnement;"Énergie, eau et environnement";23;19;0.16
