cle;libelle;offres;part_pct
20 à 49 salariés;20 à 49 salariés;3992;22.44
50 à 99 salariés;50 à 99 salariés;2690;15.12
10 à 19 salariés;10 à 19 salariés;2166;12.18
100 à 199 salariés;100 à 199 salariés;2008;11.29
6 à 9 salariés;6 à 9 salariés;1414;7.95
0 salarié (n'ayant pas d'effectif au 31/12 mais ayant employé des salariés au cours de l'année de référence);0 salarié (n'ayant pas d'effectif au 31/12 mais ayant employé des salariés au cours de l'année de référence);1369;7.70
3 à 5 salariés;3 à 5 salariés;1284;7.22
1 ou 2 salariés;1 ou 2 salariés;900;5.06
250 à 499 salariés;250 à 499 salariés;841;4.73
200 à 249 salariés;200 à 249 salariés;363;2.04
500 à 999 salariés;500 à 999 salariés;363;2.04
1000 à 1999 salariés;1000 à 1999 salariés;216;1.21
2000 à 4999 salariés;2000 à 4999 salariés;71;0.40
10 000 salariés et plus;10 000 salariés et plus;57;0.32
5000 à 9999 salariés;5000 à 9999 salariés;31;0.17
Non employeur (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12);Non employeur (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12);21;0.12
